city1,city2,points
seattle,oklahoma city,14
los angeles,atlanta,15
portland,houston,16
chicago,new york,5
boston,miami,12
nashville,new york,6
new york,atlanta,6
chicago,atlanta,5
kansas city,houston,5
chicago,santa fe,9
houston,washington,10
seattle,los angeles,9
montreal,dallas,13
winnipeg,houston,12
duluth,houston,8
sault st. marie,miami,12
chicago,new orleans,7
seattle,las vegas,10
los angeles,calgary,12
los angeles,oklahoma city,9
salt lake city,chicago,11
saint louis,miami,8
helena,los angeles,8
montreal,chicago,7
dallas,new york,11
chicago,boston,7
new york,miami,10
duluth,dallas,7
los angeles,miami,19
las vegas,new york,19
los angeles,new york,20
los angeles,chicago,16
seattle,new york,20
las vegas,miami,21
